1,2,3,4,5
1,1,28,2513.692279,122343.0975
1,2,172,618.2354319,23175.04166
1,3,234,374.427345,6018.802236
1,4,237,9.79564598,2.3625678
1,5,250,637.4079288,13239.84033
1,6,281,291.5186538,3582.305917
1,7,285,338.3795733,5126.917915
1,8,290,76.31002204,357.5016533
1,9,302,195.8819857,1492.620639
1,10,312,55.53947864,182.6601071
1,11,318,88.26522088,337.4846145
1,12,330,193.7341618,819.5359237
1,13,331,156.9144807,1214.269321
1,14,336,212.9593066,1803.407428
1,15,338,130.2984838,825.7393547
1,16,340,125.562144,892.5049101
1,17,346,119.5741586,619.510181
1,18,349,214.8457985,2713.11084
1,19,350,127.5224211,747.858028
1,20,352,220.5676792,2086.803206
1,21,353,307.2237204,3038.921386
1,22,354,167.3047297,1012.265467
1,23,355,70.99200944,184.453508
1,24,357,31.05769747,18.69589417
1,25,358,95.73141859,466.2054867
1,26,362,105.7527482,475.820503
1,27,363,600.2079432,17575.32587
1,28,367,143.3230846,1061.170969
1,29,368,205.8415468,2485.213941
1,30,370,134.5599374,904.2705145
1,31,372,83.54769833,233.3089914
1,32,374,122.4768446,769.0858261
1,33,376,116.1163353,587.2020216
1,34,377,160.3405364,1209.280782
1,35,378,129.209965,848.4391396
1,36,379,22.0479692,19.17436352
1,37,380,169.4553723,1312.661838
1,38,381,161.0151878,1401.5783
1,39,382,204.7409763,2015.900566
1,40,383,181.647784,1627.191717
1,41,384,173.3519334,1653.451268
1,42,385,174.8073305,1237.303193
1,43,386,136.3711279,778.4450829
1,44,387,179.7097961,1775.651475
1,45,388,133.6231856,993.6821561
1,46,390,118.1701784,772.5210758
1,47,391,119.1343288,446.3474395
1,48,392,133.4469828,929.0854108
1,49,393,130.5863476,1040.035655
1,50,394,179.1759277,1743.907401
1,51,395,210.438732,1925.684285
1,52,396,169.979447,1502.340192
1,53,397,170.401604,1734.893613
1,54,398,131.3617877,1029.08021
1,55,399,34.81072598,51.2648549
1,56,399,46.24464352,90.47670995
1,57,400,151.9104637,1339.306812
1,58,401,180.2850149,1812.070266
1,59,402,131.1636874,1024.843366
1,60,403,165.9513545,1482.368636
1,61,404,78.40405189,349.6234828
1,62,405,168.2282531,1680.432691
1,63,406,171.0664245,1437.226781
1,64,407,141.6453688,1199.47112
1,65,408,140.3358932,928.7227066
1,66,409,100.1687195,396.1002287
1,67,410,189.544151,1666.815983
1,68,411,114.1615734,654.5227205
1,69,412,183.7098302,1753.368911
1,70,414,97.09359974,457.2655049
1,71,415,131.3142621,1039.815841
1,72,416,126.6291755,967.4619384
1,73,417,129.0068665,1010.542533
1,74,418,132.7566157,1061.062296
1,75,419,220.1048542,2208.622758
1,76,420,312.0309109,3835.261967
1,77,421,132.9580882,1066.71796
1,78,422,183.564566,1829.594617
1,79,423,147.7318652,1246.838799
1,80,424,123.5492767,786.8560717
1,81,425,166.5827677,1509.61072
1,82,426,123.490816,794.437431
1,83,427,179.2149949,1826.71128
1,84,428,132.3307681,1067.337078
1,85,429,80.03022021,396.4101587
1,86,430,166.5990871,1201.023193
1,87,431,455.6261075,7022.980777
1,88,432,442.9697915,6915.073639
1,89,433,115.160304,769.2172547
1,90,434,197.2728501,2057.222481
1,91,435,433.5414143,4337.196448
1,92,436,151.8517867,1240.417962
1,93,437,39.39509472,96.73465639
1,94,438,140.4846443,1100.416553
1,95,439,52.22565671,155.6830301
1,96,440,154.193044,1473.538382
1,97,441,139.0071746,922.9472502
1,98,442,68.04952159,267.1129142
1,99,443,166.7062113,1606.616175
1,100,444,106.7064655,539.9907032
1,101,445,43.04633902,112.3559926
1,102,446,50.45051591,146.4579917
1,103,447,155.3667677,1477.921719
1,104,448,190.4086769,1489.908383
1,105,449,38.15763219,87.27513293
1,106,450,41.27345102,6.48853198
1,107,451,93.8507215,78.84420201
1,108,452,168.7806412,1326.781152
1,109,453,100.739591,624.2963866
1,110,454,257.6827917,1941.862375
1,111,455,103.0321446,655.5262137
1,112,456,105.8746337,694.8111372
1,113,457,151.4538143,1225.932001
1,114,458,104.9531499,686.5078156
1,115,459,191.5958239,1982.228236
1,116,460,107.7442855,724.3803147
1,117,461,109.6214825,750.8591169
1,118,462,81.31079948,412.6137055
1,119,463,111.8173184,781.382664
1,120,464,113.145633,799.4498705
1,121,465,98.95068549,611.5371584
1,122,466,115.671524,834.1202472
1,123,467,52.82119419,165.1132417
1,124,468,166.8762417,1199.654279
1,125,469,117.9602326,866.2908417
1,126,470,133.3752659,931.7458448
1,127,471,184.8941157,1906.757442
1,128,472,130.2150861,944.7200648
1,129,473,121.3655133,915.6467695
1,130,474,153.5056342,1178.1251
1,131,475,42.50893889,112.8964746
1,132,476,124.6544029,961.7358882
1,133,477,126.2338839,981.7815452
1,134,478,177.5103016,1634.580557
1,135,479,121.8401405,920.4214429
1,136,480,62.92123295,243.8234296
1,137,481,117.78853,866.2383092
1,138,482,225.660879,2481.015366
1,139,483,103.8419441,614.8129012
1,140,484,147.8892531,1211.141921
1,141,485,89.59774341,365.6073495
1,142,486,149.1755331,1212.553067
1,143,487,220.2127328,2057.317028
1,144,488,429.6217373,6611.01684
1,145,489,159.3716941,1311.981319
1,146,490,150.0385287,1256.396215
1,147,491,192.9416151,2103.383463
1,148,492,153.8250866,1283.303015
1,149,493,426.6383644,6560.196582
1,150,494,171.3586919,1833.020879
1,151,495,149.9337823,1225.858421
1,152,496,112.1383084,123.3169367
1,153,497,203.0992729,1584.0151
1,154,498,143.7857175,1216.339615
1,155,499,150.1742884,1215.401656
1,156,500,201.8645784,2231.016156
1,157,501,49.94067148,153.9113215
1,158,502,45.77379136,129.8143635
1,159,503,232.0462874,2042.509795
1,160,504,179.568091,1661.318043
1,161,505,135.3607747,1118.52084
1,162,506,202.6861773,1883.560786
1,163,507,121.2217369,839.673263
1,164,508,151.5796269,1260.721934
1,165,509,139.3768025,1150.744341
1,166,510,185.0700714,1976.850645
1,167,511,152.9404109,1277.031825
1,168,512,471.8112048,5630.993286
1,169,513,150.9650295,1241.890339
1,170,514,136.3446659,1060.732837
1,171,515,354.199376,4002.593356
1,172,516,165.9334851,1707.669556
1,173,517,111.1789999,772.2031134
1,174,518,212.7533959,2832.669517
1,175,519,156.92776,1274.544197
1,176,520,145.0810711,1281.548846
1,177,521,92.46470938,533.9624324
1,178,522,88.70561378,419.7895681
1,179,523,162.6318589,1621.954874
1,180,524,136.443045,931.9569483
